dcterms:identifier,ac:associatedSpecimenReference,ac:providerManagedID,ac:derivedFrom,ac:providerLiteral,ac:provider,dc:type,dcterms:type,ac:subtypeLiteral,ac:subtype,ac:accessURI,dc:format,ac:subjectPart,ac:subjectOrientation,ac:caption,Iptc4xmpExt:LocationCreated,ac:captureDevice,dc:creator,ms:scanningTechnician,ac:fundingAttribution,exif:Xresolution,exif:Yresolution,dicom:SpacingBetweenSlices,dc:rights,dcterms:rights,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement,ac:licenseLogoURL,photoshop:Credit,coreid,exif:ResolutionUnit,exif:PixelXDimension,exif:PixelYDimension,ac:PixelXDimension,ac:PixelYDimension
 ark:/87602/m4/M11010,0ff3e15a-4c4d-4223-830e-0578e34424bf,11010,,MorphoSource,http://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,http://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/11010,application/stl,Whole body STL,Whole body STL,,UF Nanoscale Research Facility,GE V|tome|xm240 CT Scanner,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,135.184294721229,135.184294721229,0.07397309,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,A715C970-02D2-4CB4-A5F0-DF7303428918,3,,,,
http://www.morphosource.org/media/morphosource/images/1/1/0/16282_ms_media_files_media_11010_large.jpg,0ff3e15a-4c4d-4223-830e-0578e34424bf,11010p, ark:/87602/m4/M11010,MorphoSource,http://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,http://www.morphosource.org/media/morphosource/images/1/1/0/16282_ms_media_files_media_11010_large.jpg,image/jpeg,Whole body STL,Whole body STL,Whole body STL,UF Nanoscale Research Facility,GE V|tome|xm240 CT Scanner,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,37.79527559055118,37.79527559055118,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,A715C970-02D2-4CB4-A5F0-DF7303428918,3,700.0,526.0,,
 ark:/87602/m4/M11065,0ff3e15a-4c4d-4223-830e-0578e34424bf,11065,,MorphoSource,http://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,http://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/11065,image/tiff,Whole body STL,Whole body STL,,UF Nanoscale Research Facility,GE V|tome|xm240 CT Scanner,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,135.184294721229,135.184294721229,0.07397309,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,A715C970-02D2-4CB4-A5F0-DF7303428918,3,,,1119,1028
http://www.morphosource.org/media/morphosource/images/1/1/0/15016_ms_media_files_media_11065_large.jpg,0ff3e15a-4c4d-4223-830e-0578e34424bf,11065p, ark:/87602/m4/M11065,MorphoSource,http://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,http://www.morphosource.org/media/morphosource/images/1/1/0/15016_ms_media_files_media_11065_large.jpg,image/jpeg,Whole body STL,Whole body STL,Tiff-stack,UF Nanoscale Research Facility,GE V|tome|xm240 CT Scanner,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,135.18429253045028,135.18429253045028,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,A715C970-02D2-4CB4-A5F0-DF7303428918,3,700.0,643.0,,
 ark:/87602/m4/M11047,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11047,,MorphoSource,http://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,http://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/11047,application/stl,STL of Draco blanfordi skull,STL of Draco blanfordi skull,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,227.45505317557956,227.45505317557956,0.04396473,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,,,,
http://www.morphosource.org/media/morphosource/images/1/1/0/14529_ms_media_files_media_11047_large.jpg,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11047p, ark:/87602/m4/M11047,MorphoSource,http://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,http://www.morphosource.org/media/morphosource/images/1/1/0/14529_ms_media_files_media_11047_large.jpg,image/jpeg,STL of Draco blanfordi skull,STL of Draco blanfordi skull,Draco blanfordii Skull,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,37.79527559055118,37.79527559055118,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,700.0,499.0,,
 ark:/87602/m4/M11048,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11048,,MorphoSource,http://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,http://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/11048,application/stl,STL of Draco blanfordii jaw,STL of Draco blanfordii jaw,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,227.45505317557956,227.45505317557956,0.04396473,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,,,,
http://www.morphosource.org/media/morphosource/images/1/1/0/36694_ms_media_files_media_11048_large.jpg,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11048p, ark:/87602/m4/M11048,MorphoSource,http://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,http://www.morphosource.org/media/morphosource/images/1/1/0/36694_ms_media_files_media_11048_large.jpg,image/jpeg,STL of Draco blanfordii jaw,STL of Draco blanfordii jaw,Draco blanfordii jaw,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,37.79527559055118,37.79527559055118,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,700.0,499.0,,
 ark:/87602/m4/M11049,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11049,,MorphoSource,http://www.morphosource.org,Image,http://purl.org/dc/dcmitype/Image,,,http://www.morphosource.org/index.php/Detail/MediaDetail/Show/media_file_id/11049,application/stl,STL of Draco blanfordii,STL of Draco blanfordii,,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,227.45505317557956,227.45505317557956,0.04396473,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,,,,
http://www.morphosource.org/media/morphosource/images/1/1/0/9038_ms_media_files_media_11049_large.jpg,0adcd7c9-865a-4a60-9b49-1edda2bfe44a,11049p, ark:/87602/m4/M11049,MorphoSource,http://www.morphosource.org,StillImage,http://purl.org/dc/dcmitype/StillImage,Graphic,https://terms.tdwg.org/wiki/AC_Subtype_Examples,http://www.morphosource.org/media/morphosource/images/1/1/0/9038_ms_media_files_media_11049_large.jpg,image/jpeg,STL of Draco blanfordii,STL of Draco blanfordii,Draco blanfordii full body,Florida Museum of Natural History Herpetology,Phoenix VTome|x M,Edward Stanley <elstanley@flmnh.ufl.edu>,Edward Stanley,,37.79527559055118,37.79527559055118,,Permission to use media on MorphoSource granted by copyright holder,https://creativecommons.org/licenses/by-nc/3.0/,"Florida Museum of Natural History, University of Florida",Attribution-NonCommercial CC BY-NC - reuse but noncommercial,https://creativecommons.org/licenses/by-nc/3.0/,https://mirrors.creativecommons.org/presskit/buttons/88x31/png/by-nc.png,,5EEB3B9C-DDCB-4834-B31B-9F1C194C5558,3,700.0,543.0,,
